#H[A/m], B[T]
0	0.0000
49	0.5187
63	0.6614
69	0.7204
74	0.7658
78	0.8040
82	0.8376
86	0.8681
90	0.8961
94	0.9221
98	0.9466
102	0.9697
106	0.9917
110	1.0128
114	1.0329
119	1.0524
124	1.0711
128	1.0892
134	1.1068
139	1.1238
145	1.1404
151	1.1565
157	1.1723
164	1.1877
172	1.2027
180	1.2174
189	1.2318
199	1.2459
209	1.2598
221	1.2734
234	1.2867
248	1.2999
264	1.3128
282	1.3255
302	1.3380
324	1.3503
349	1.3625
377	1.3744
409	1.3862
446	1.3979
486	1.4094
532	1.4207
584	1.4319
641	1.4430
705	1.4539
776	1.4647
855	1.4754
942	1.4860
1037	1.4965
1141	1.5068
1256	1.5170
1380	1.5272
1515	1.5372
1661	1.5472
1818	1.5570
1987	1.5667
2167	1.5764
2357	1.5860
2558	1.5955
2769	1.6049
2990	1.6142
3220	1.6234
3459	1.6326
3706	1.6417
3961	1.6507
4224	1.6597
4495	1.6685
4773	1.6773
5058	1.6861
5352	1.6948
5653	1.7034
5962	1.7119
6280	1.7204
6606	1.7289
6942	1.7372
7286	1.7456
7641	1.7538
8007	1.7620
8384	1.7702
8773	1.7783
9175	1.7863
9590	1.7943
10020	1.8023
10466	1.8102
10929	1.8180
11409	1.8258
11909	1.8336
12430	1.8413
12972	1.8490
13539	1.8566
14132	1.8642
14752	1.8717
15402	1.8792
16085	1.8867
16802	1.8941
17557	1.9014
18353	1.9088
19192	1.9161
20078	1.9233
21016	1.9306
22008	1.9377
23059	1.9449
24174	1.9520
25357	1.9591
26614	1.9661
27948	1.9731
29367	1.9801
30873	1.9870
32474	1.9940
34174	2.0008
35978	2.0077
37891	2.0145
39915	2.0213
42056	2.0280
44315	2.0348
46694	2.0414
49194	2.0481
51814	2.0547
54555	2.0614
57412	2.0679
60385	2.0745
63468	2.0810
66657	2.0875
69947	2.0940
73333	2.1004
76809	2.1068
80369	2.1132
84007	2.1196
87716	2.1259
91492	2.1322
95328	2.1385
99220	2.1448
103162	2.1510
107149	2.1573
111177	2.1634
115242	2.1696
119339	2.1758
123466	2.1819
127619	2.1880
131794	2.1941
135990	2.2001
140203	2.2062
144432	2.2122
148673	2.2182
152926	2.2242
157188	2.2301
161458	2.2360
165734	2.2420
170015	2.2478
174300	2.2537
178587	2.2596
182876	2.2654
187166	2.2712
191455	2.2770
195743	2.2828
200030	2.2885
204314	2.2943
208595	2.3000
212872	2.3057
217146	2.3114
221415	2.3170
225679	2.3227
229938	2.3283
234191	2.3339
238438	2.3395
242679	2.3451
246914	2.3507
251142	2.3562
255362	2.3617
259576	2.3672
263783	2.3727
267982	2.3782
272173	2.3837
276357	2.3891
280533	2.3945
284701	2.4000
288860	2.4053
293012	2.4107
297155	2.4161
301290	2.4215
305417	2.4268
309536	2.4321
313646	2.4374
317747	2.4427
321840	2.4480
325924	2.4533
330000	2.4585
